Sport,Team1,Team2,GameLink,Market,Target,Price
,Canberra Raiders,South Sydney Rabbitohs,https://www.sportsbet.com.au/betting/rugby-league/nrl/canberra-raiders-v-south-sydney-rabbitohs-4869873,Line,Canberra Raiders (-7.5),1.9
,Sydney Roosters,Melbourne Storm,https://www.sportsbet.com.au/betting/rugby-league/nrl/sydney-roosters-v-melbourne-storm-4871452,Total Match Points,Under (+34.5),1.9
